,ADM2_NAME,worse_ev_5,worse_ev_10,worse_ev_20,worse_ev_50,worse_ev_100,worse_ev_200,DN,dtime_ev_5_t,dtime_ev_10_t,dtime_ev_20_t,dtime_ev_50_t,dtime_ev_100_t,dtime_ev_200_t
0,Asokore Mampong Muni,52987,104843,156740,195251,196067,196630,264461,17824.95457916429,2521790.3808604144,10696707.249747373,20225839.93201509,23328804.60458487,26361821.937405575
1,Asokwa  Municipal,59358,62464,83474,218953,290023,308623,367995,2497512.8281003213,7477855.700969236,9641722.514218243,15759739.474785943,28162583.00006196,48216945.454813294
2,Kumasi Metropolitan,5430,5430,9001,153655,184269,193794,401183,404.0624284285691,495.90802788571114,3142.7646674357093,21791804.64786434,24615392.112055674,34144404.46809382
3,Kwadaso Municipal,2375,39539,170130,374338,409918,439143,841524,155738.02004564286,3456656.312186126,10791342.641878454,57491824.58575996,73011193.17576511,88702486.18085669
4,Oforikrom Municipal,120037,204156,242683,285530,300036,318216,434601,3505806.0562786814,13024744.982813481,17588845.744230416,47459765.980503224,61018969.82000386,74721352.77300602
5,Old Tafo Municipal,0,8885,53977,207567,220326,221820,380197,0.0,2980.3149399928525,1355788.317054893,9218331.168343132,13286370.33015024,18793244.05928039
6,Suame Municipal,71548,71852,131963,213958,217803,223090,374148,16400439.527904857,20582216.781860657,28963000.4731409,113010534.95715131,124038909.7191925,128616685.86120185
