,4089157448
3297607680,869.2297290000004
6899344393,617.5398450000004
8909653001,214.753455
7846999050,820.6890128571428
3135400973,211.36872000000005
6004223513,635.0088300000003
7562512410,363.26992285714283
890386969,597.1627200000004
6899344419,628.3866450000004
3518404132,383.3648871428572
5933221416,1034.8149720000001
2122497066,339.75549000000007
5852658730,651.2672400000001
3275184173,954.9935190000002
5930723902,749.486625
6009589822,745.620825
3135401027,175.54211999999998
6009589828,721.6188450000002
5933987412,711.7404342857142
7862141525,485.95869000000033
5864825944,949.9460400000003
4710836828,736.440435
4973438051,418.02803485714304
7820709988,694.8833040000003
5862545003,628.6793519999999
3135401068,142.67709
5822578802,179.16198000000006
5925534837,745.79076
4455307895,245.7767520000001
5933966970,125.478075
3092650619,402.7469142857146
4455225466,234.814455
5993355901,592.0576200000003
4893120637,763.511115
6006412412,751.8546599999996
5636075136,355.1047842857143
4455252103,262.46848500000004
3343304338,406.9807050000002
9090219157,619.3414620000003
3121241758,650.41752
3820846240,781.807035
5829314721,790.3410557142859
4720905890,842.7710549999999
7761261732,444.6850050000001
5852914854,300.8441828571429
5850369704,585.437445
5931240107,165.80289000000005
7606766252,430.2657000000002
5936009397,286.76394
5911871172,411.8947500000001
5822558405,577.4736700000003
5850776781,245.57656500000007
5993355479,585.1701990000003
3462089432,748.5419549999999
5106735835,264.05066571428574
5850977500,335.65718914285713
2169662178,417.6086528571431
3184699107,1145.197044000001
7249290468,702.0421050000003
8853235945,178.73964000000007
4453747946,400.5002550000002
2169662205,529.6065750000002
4453844733,389.4303150000001
5850490625,597.2357520000002
5850269955,554.4580350000001
3105339661,178.81650000000002
4710837011,753.6331499999999
6899274515,646.21883
4456573718,398.15199000000024
5349747481,714.2444850000002
5114368282,815.7412199999999
6926924574,742.1888128571426
9096976677,576.0389417142857
3092650280,524.0302020000003
4457024820,117.73363499999998
2169661755,605.3246490000004
7302123326,666.7180230000004
5859970881,594.5385900000002
3518401357,454.5713657142863
4195906895,234.54577285714288
6009495384,727.4385750000001
890386777,546.4577400000003
7303053658,732.4900950000001
5850670939,972.7572150000001
3518401372,516.3155100000004
6262882659,269.8892100000001
5950412644,258.9539850000001
5525248360,526.7171471428572
5920546673,172.14258
5942336378,786.8165399999997
5987562363,659.55417
5950412674,208.748445
3473276295,333.9565650000001
3149877639,567.8646300000001
2167623050,535.3762414285716
2169661837,559.0593990000002
3303010705,582.7798200000001
6011633046,418.1358171428573
4833146788,303.85791
5929011109,614.0372100000004
2167622568,651.9285771428571
6006245806,479.17624285714345
6005135794,226.05813
2169661881,536.4222030000002
6011633084,449.38573200000025
5106623944,245.94840000000005
5106741711,254.91855428571432
5911060949,227.89962000000003
3095401431,422.07619500000015
7862088157,740.4854819999998
5850763743,210.766365
3146426335,359.1083545714286
2171161060,427.08520800000025
3110731749,592.8233700000003
7096388585,743.749995
3110731753,597.8297100000004
7176695274,58.892319
3165818860,651.25122
2459123186,726.3430050000001
4455112691,316.96462285714296
2122497012,335.8055490000001
5641888246,653.1123450000001
6910796283,942.2612350000002
9487369725,391.6611642857145
